customer_id,region_id,product_category,last_purchase_date,satisfaction_score,complaint_type,service_rating
C4362,R003,TV,2024-03-14,4.7,Unresponsive Support,1
C6039,R009,TV,2024-04-28,2.5,Late Delivery,1
C7997,R002,AC,2024-05-12,4.3,Late Delivery,5
C6741,R006,Laptop,2024-05-09,2.9,None,5
C1584,R007,TV,2024-06-02,2.2,Product Defect,2
C8411,R009,Laptop,2024-06-30,3.9,Late Delivery,1
C7881,R008,Smartphone,2024-06-05,4.3,Installation Delay,2
C5870,R006,Washing Machine,2024-05-04,4.7,Installation Delay,3
C6301,R005,Laptop,2024-03-02,2.8,Product Defect,4
C2701,R010,Washing Machine,2024-04-21,3.0,Rude Staff,1
C9604,R001,AC,2024-01-11,3.4,Late Delivery,1
C2283,R008,Laptop,2024-06-19,3.8,Unresponsive Support,4
C8986,R010,AC,2024-01-13,4.7,Late Delivery,4
C5059,R005,Laptop,2024-04-25,3.4,Product Defect,5
C3044,R002,Smartphone,2024-01-27,2.4,Rude Staff,5
C2949,R006,Laptop,2024-01-04,3.7,Rude Staff,4
C3678,R001,Smartphone,2024-03-05,3.9,Unresponsive Support,5
C8111,R004,Smartphone,2024-05-20,3.4,Late Delivery,2
C4812,R009,TV,2024-04-29,3.8,Rude Staff,4
C1148,R009,AC,2024-05-24,3.6,Unresponsive Support,2
C8985,R002,Laptop,2024-01-13,2.8,Unresponsive Support,3
C2497,R010,Smartphone,2024-01-01,3.8,Late Delivery,5
C2214,R004,Smartphone,2024-06-09,2.1,Product Defect,5
C9652,R002,AC,2024-02-07,2.9,Rude Staff,2
C4567,R009,AC,2024-03-29,4.3,None,4
C2924,R009,Laptop,2024-03-06,2.6,Unresponsive Support,4
C7875,R004,Smartphone,2024-06-21,3.6,Unresponsive Support,2
C8436,R005,Smartphone,2024-03-09,2.2,Product Defect,3
C5390,R008,TV,2024-02-24,2.0,Rude Staff,2
C1008,R010,AC,2024-02-12,2.6,Unresponsive Support,5
C8601,R009,Washing Machine,2024-05-25,3.2,Installation Delay,1
C8383,R005,TV,2024-01-16,2.8,Unresponsive Support,4
C4486,R009,Smartphone,2024-06-12,4.7,Product Defect,1
C7059,R005,Smartphone,2024-01-18,2.2,Late Delivery,4
C5058,R006,Washing Machine,2024-05-24,3.7,Late Delivery,4
C1370,R006,AC,2024-05-01,3.5,Unresponsive Support,4
C5948,R002,Laptop,2024-01-10,4.1,None,1
C5469,R002,TV,2024-01-09,4.5,Rude Staff,3
C4612,R004,AC,2024-05-31,2.2,Installation Delay,5
C9140,R010,TV,2024-01-31,2.3,Rude Staff,5
C6120,R009,TV,2024-04-22,4.4,Installation Delay,2
C4073,R007,Smartphone,2024-04-30,2.5,Unresponsive Support,4
C7311,R004,Washing Machine,2024-01-05,3.0,None,4
C9977,R007,Washing Machine,2024-03-11,2.3,Installation Delay,5
C5080,R009,Washing Machine,2024-02-24,2.6,Installation Delay,2
C7574,R002,Washing Machine,2024-02-03,3.5,None,2
C5739,R001,Laptop,2024-05-15,2.4,Installation Delay,4
C3922,R010,TV,2024-05-27,2.4,Unresponsive Support,2
C7614,R008,TV,2024-03-08,3.2,Rude Staff,4
C3608,R005,Laptop,2024-03-30,3.0,Installation Delay,1
C7456,R008,AC,2024-05-22,4.5,Late Delivery,5
C1704,R003,Smartphone,2024-03-24,2.3,Installation Delay,1
C2801,R010,Laptop,2024-01-25,3.1,Installation Delay,3
C6634,R007,Washing Machine,2024-04-06,2.3,Product Defect,5
C4450,R010,Laptop,2024-01-28,3.0,Rude Staff,4
C2665,R003,TV,2024-06-01,4.8,Late Delivery,3
C6007,R007,Washing Machine,2024-05-24,3.4,Installation Delay,3
C9408,R005,AC,2024-05-27,2.9,Rude Staff,3
C4158,R007,AC,2024-06-13,2.8,Late Delivery,5
C9413,R004,Washing Machine,2024-02-23,2.8,Product Defect,2
C8962,R005,TV,2024-01-01,3.2,Unresponsive Support,4
C6123,R005,Washing Machine,2024-01-28,2.2,None,1
C7883,R001,Smartphone,2024-04-18,3.0,Product Defect,4
C9257,R006,AC,2024-05-26,2.3,Late Delivery,4
C4660,R004,Washing Machine,2024-04-26,4.9,Product Defect,5
C7816,R005,TV,2024-01-15,3.6,None,4
C6754,R001,TV,2024-05-18,4.1,Product Defect,4
C4247,R004,Laptop,2024-05-17,4.9,Rude Staff,5
C1330,R005,AC,2024-03-09,2.6,Installation Delay,4
C6417,R006,Smartphone,2024-03-01,3.6,Late Delivery,5
C1125,R009,Smartphone,2024-06-21,4.4,Product Defect,1
C7286,R002,AC,2024-01-11,4.6,Product Defect,2
C3684,R003,AC,2024-03-30,2.9,Installation Delay,3
C7495,R005,Smartphone,2024-02-29,2.7,Rude Staff,1
C6708,R007,TV,2024-05-04,2.7,Unresponsive Support,1
C5516,R007,Washing Machine,2024-06-27,2.3,None,1
C1540,R009,Laptop,2024-06-19,3.1,None,4
C2623,R007,Washing Machine,2024-01-05,2.6,Product Defect,5
C6951,R005,Laptop,2024-03-13,2.3,Unresponsive Support,3
C8092,R010,Laptop,2024-06-29,2.9,Late Delivery,5
C7793,R002,AC,2024-01-27,2.6,Product Defect,3
C2299,R001,Smartphone,2024-01-24,3.2,Product Defect,3
C5409,R005,Smartphone,2024-01-04,2.5,Rude Staff,4
C7606,R007,TV,2024-05-08,3.6,Unresponsive Support,1
C6655,R005,Smartphone,2024-03-02,4.1,Unresponsive Support,2
C4532,R007,TV,2024-03-29,2.7,Product Defect,3
C9788,R003,AC,2024-05-21,4.2,Installation Delay,2
C3356,R008,Washing Machine,2024-03-23,2.4,Installation Delay,5
C4095,R002,AC,2024-06-23,4.6,None,5
C4912,R003,Laptop,2024-04-23,2.4,Unresponsive Support,4
C1644,R005,Washing Machine,2024-05-01,3.0,Installation Delay,5
C9917,R001,AC,2024-03-27,4.2,Unresponsive Support,2
C6341,R003,Washing Machine,2024-06-04,4.0,Product Defect,4
C7233,R003,AC,2024-06-04,3.1,None,3
C3038,R002,TV,2024-04-19,3.2,Product Defect,4
C1371,R002,Smartphone,2024-03-18,4.2,None,1
C7237,R003,Washing Machine,2024-04-02,3.9,Unresponsive Support,2
C1145,R003,Smartphone,2024-06-25,4.6,Product Defect,1
C5645,R003,Laptop,2024-05-02,3.2,Late Delivery,2
C6549,R006,TV,2024-06-26,2.5,Rude Staff,4
C7732,R001,AC,2024-05-16,3.6,Product Defect,1
C9238,R010,AC,2024-01-18,3.6,Unresponsive Support,5
C3140,R002,AC,2024-02-18,4.3,Installation Delay,5
C1312,R009,Washing Machine,2024-02-20,4.7,Rude Staff,1
C4440,R010,AC,2024-06-05,3.8,Rude Staff,5
C7583,R006,Smartphone,2024-02-03,4.0,Unresponsive Support,5
C8206,R006,TV,2024-04-11,2.3,Rude Staff,2
C1183,R003,TV,2024-05-17,4.6,None,5
C6689,R008,Laptop,2024-05-23,2.1,Installation Delay,3
C5558,R006,Washing Machine,2024-01-03,3.7,Late Delivery,5
C4511,R004,AC,2024-05-24,3.0,Late Delivery,1
C9660,R002,Smartphone,2024-03-04,4.9,Installation Delay,4
C8291,R003,TV,2024-03-18,4.5,Unresponsive Support,1
C4607,R001,Laptop,2024-04-07,4.6,Rude Staff,4
C9198,R008,Washing Machine,2024-01-31,3.8,Unresponsive Support,2
C2636,R005,AC,2024-01-30,3.0,Late Delivery,3
C2605,R007,Washing Machine,2024-01-10,3.1,Product Defect,5
C7011,R007,Laptop,2024-02-08,3.0,None,1
C4156,R004,Laptop,2024-05-18,2.5,Product Defect,4
C1184,R003,AC,2024-04-01,2.5,None,3
C8617,R009,TV,2024-01-23,5.0,None,5
C6957,R002,TV,2024-01-08,3.6,Installation Delay,1
C8526,R009,Smartphone,2024-05-12,2.8,Late Delivery,3
C1383,R002,Washing Machine,2024-01-14,3.2,Late Delivery,5
C5043,R004,AC,2024-05-24,2.1,Installation Delay,3
C7164,R003,Laptop,2024-04-24,2.3,None,4
C8209,R002,AC,2024-01-31,2.2,Rude Staff,1
C3362,R006,TV,2024-06-19,4.6,Unresponsive Support,5
C9931,R008,Laptop,2024-04-07,3.5,Late Delivery,2
C2539,R001,TV,2024-03-04,3.4,Late Delivery,1
C7674,R008,Smartphone,2024-04-22,4.0,Installation Delay,4
C3619,R007,Washing Machine,2024-06-14,3.7,Product Defect,1
C2748,R008,Washing Machine,2024-06-06,3.9,Product Defect,1
C3978,R005,Smartphone,2024-01-18,2.8,Installation Delay,1
C1850,R009,Smartphone,2024-06-14,4.6,Installation Delay,1
C4020,R007,AC,2024-06-09,4.0,Installation Delay,1
C3947,R004,Smartphone,2024-05-12,2.7,Installation Delay,1
C8620,R008,Smartphone,2024-02-24,2.9,Unresponsive Support,3
C3914,R002,Smartphone,2024-01-25,3.5,None,5
C9596,R007,TV,2024-03-25,3.4,None,3
C4980,R009,Laptop,2024-01-10,4.9,Rude Staff,3
C1024,R007,AC,2024-05-22,3.2,Installation Delay,3
C8785,R003,Smartphone,2024-02-22,2.8,Installation Delay,4
C3878,R010,TV,2024-04-01,3.8,Unresponsive Support,3
C4733,R003,Laptop,2024-06-27,3.0,Unresponsive Support,1
C2672,R009,AC,2024-04-25,2.6,Rude Staff,3
C1024,R009,Laptop,2024-01-05,3.5,Product Defect,2
C8034,R006,Laptop,2024-04-29,2.1,None,1
C4311,R007,TV,2024-02-10,3.9,Installation Delay,3
C1126,R001,Laptop,2024-01-28,2.6,None,1
C2291,R002,Washing Machine,2024-03-06,4.6,Late Delivery,3
C2236,R010,Washing Machine,2024-04-23,2.5,Rude Staff,1
C7645,R002,Laptop,2024-04-03,2.3,Rude Staff,5
C2260,R002,TV,2024-06-19,4.7,None,1
C7327,R004,AC,2024-05-29,4.9,Installation Delay,5
C6358,R005,TV,2024-01-29,4.3,Rude Staff,5
C9239,R003,TV,2024-04-28,2.4,Product Defect,2
C2149,R003,Washing Machine,2024-05-29,2.1,Installation Delay,1
C5064,R008,Laptop,2024-03-22,4.6,Rude Staff,1
C6864,R005,Washing Machine,2024-05-28,2.2,None,2
C3082,R004,Washing Machine,2024-01-01,3.4,Rude Staff,2
C2627,R004,Laptop,2024-02-17,2.7,None,3
C4519,R001,AC,2024-05-19,2.4,None,2
C5490,R007,AC,2024-02-07,4.3,None,1
C5917,R010,Smartphone,2024-03-11,3.0,None,5
C9787,R006,Smartphone,2024-02-06,3.9,Late Delivery,5
C3993,R010,TV,2024-02-09,4.2,Rude Staff,2
C2036,R009,Laptop,2024-06-09,4.9,None,5
C5251,R006,AC,2024-05-13,2.6,Late Delivery,1
C5264,R004,Laptop,2024-06-10,3.3,None,2
C6469,R005,TV,2024-03-10,4.7,Product Defect,1
C9918,R002,AC,2024-02-11,4.0,None,3
C8601,R002,Washing Machine,2024-02-17,4.0,Installation Delay,3
C8579,R007,Smartphone,2024-06-14,3.9,Unresponsive Support,2
C8064,R002,TV,2024-03-06,2.2,Unresponsive Support,3
C3402,R010,Laptop,2024-01-07,4.7,Installation Delay,4
C4047,R010,Laptop,2024-02-04,3.9,Rude Staff,3
C3080,R004,Smartphone,2024-05-05,2.8,Installation Delay,5
C2847,R003,Laptop,2024-04-22,4.1,Rude Staff,5
C4032,R003,Washing Machine,2024-02-20,3.7,Product Defect,5
C3467,R007,Smartphone,2024-04-04,2.8,None,5
C3182,R005,Smartphone,2024-01-18,4.6,None,1
C8094,R004,TV,2024-06-23,4.8,Product Defect,2
C1704,R002,Smartphone,2024-06-13,2.7,Product Defect,2
C5274,R010,Washing Machine,2024-02-20,2.8,Rude Staff,1
C6650,R006,Smartphone,2024-03-22,4.7,None,4
C6074,R001,AC,2024-01-26,4.9,Rude Staff,5
C8058,R006,TV,2024-01-30,2.5,Rude Staff,3
C9579,R001,Smartphone,2024-02-17,4.7,None,1
C5169,R004,TV,2024-03-15,3.3,Product Defect,4
C5682,R003,TV,2024-04-09,3.3,Rude Staff,5
C4964,R002,Laptop,2024-04-03,4.3,Installation Delay,4
C9336,R009,Washing Machine,2024-03-04,4.0,Late Delivery,1
C2064,R010,AC,2024-02-14,4.6,Product Defect,3
C7184,R001,Washing Machine,2024-03-08,4.6,Unresponsive Support,2
C7106,R008,AC,2024-06-23,4.9,Late Delivery,5
C6466,R008,Washing Machine,2024-05-04,3.0,None,4
C7208,R003,AC,2024-03-13,3.4,Unresponsive Support,4
C3013,R001,Laptop,2024-02-20,2.2,None,4
C9751,R007,Laptop,2024-01-15,4.1,Unresponsive Support,5
C5996,R003,TV,2024-02-12,2.2,None,1
C9733,R005,AC,2024-03-13,2.5,Product Defect,5
C3847,R002,Washing Machine,2024-06-20,3.3,Late Delivery,3
C7419,R010,Smartphone,2024-04-11,3.0,Late Delivery,1
C4944,R007,Smartphone,2024-04-02,2.0,Late Delivery,3
C2077,R002,TV,2024-01-22,3.5,Unresponsive Support,4
C6761,R002,TV,2024-02-07,2.3,Rude Staff,1
C6067,R009,AC,2024-02-19,4.5,None,1
C2468,R005,TV,2024-06-21,2.9,Unresponsive Support,4
C8349,R010,Smartphone,2024-04-02,4.7,Installation Delay,5
C4388,R008,Laptop,2024-05-27,2.2,Installation Delay,2
C7633,R002,Laptop,2024-02-04,2.9,Installation Delay,5
C2994,R003,TV,2024-01-27,3.8,Late Delivery,5
C5914,R010,Laptop,2024-06-06,2.4,Rude Staff,3
C5977,R008,Smartphone,2024-02-11,3.2,None,3
C7833,R010,Laptop,2024-05-22,4.7,Unresponsive Support,1
C4731,R010,Washing Machine,2024-01-24,2.2,Unresponsive Support,2
C1391,R010,Washing Machine,2024-01-21,2.3,Product Defect,2
C3844,R006,Smartphone,2024-01-25,3.2,Late Delivery,2
C2774,R009,AC,2024-02-02,2.6,Rude Staff,3
C4836,R010,Laptop,2024-02-07,3.1,Rude Staff,1
C4046,R010,Smartphone,2024-03-23,3.5,Product Defect,4
C7805,R003,AC,2024-06-25,2.6,Unresponsive Support,1
C4826,R004,AC,2024-02-28,5.0,None,3
C4127,R004,AC,2024-03-13,3.0,None,3
C2361,R004,Smartphone,2024-05-31,3.7,None,1
C5478,R008,TV,2024-06-30,4.5,None,1
C9958,R004,Washing Machine,2024-06-15,2.1,Unresponsive Support,1
C9501,R002,Laptop,2024-05-27,3.4,Unresponsive Support,1
C8777,R005,AC,2024-01-04,2.4,Installation Delay,5
C4166,R002,Smartphone,2024-03-02,3.8,Installation Delay,4
C8730,R009,Washing Machine,2024-04-20,4.7,Product Defect,4
C8823,R009,AC,2024-01-24,2.9,Installation Delay,4
C8702,R006,Laptop,2024-05-30,3.1,Installation Delay,4
C2523,R003,Smartphone,2024-01-20,2.0,Unresponsive Support,5
C1594,R010,Washing Machine,2024-01-03,3.3,None,5
C1342,R010,Smartphone,2024-05-02,3.1,None,5
C9286,R007,TV,2024-02-12,3.2,None,4
C3971,R009,Smartphone,2024-03-01,2.4,Product Defect,2
C4473,R005,Laptop,2024-06-26,4.4,None,4
C5159,R009,TV,2024-06-09,4.3,Installation Delay,3
C9430,R003,Washing Machine,2024-03-13,3.9,None,4
C1407,R008,Laptop,2024-01-27,3.3,Rude Staff,3
C8068,R009,Laptop,2024-01-31,3.3,Installation Delay,3
C9489,R004,Laptop,2024-01-18,3.6,Unresponsive Support,3
C2884,R002,Laptop,2024-03-29,4.3,Late Delivery,5
C6183,R010,Washing Machine,2024-02-10,4.9,Installation Delay,2
C4949,R006,AC,2024-01-28,3.1,Product Defect,1
C8928,R010,Laptop,2024-06-01,4.6,Unresponsive Support,5
C5287,R007,Laptop,2024-03-26,3.4,Rude Staff,3
C8128,R004,Laptop,2024-05-13,3.9,None,2
C4605,R001,TV,2024-02-05,2.1,Product Defect,1
C1217,R008,AC,2024-05-16,2.0,Product Defect,2
C1646,R002,Smartphone,2024-01-16,3.7,Product Defect,5
C8811,R004,AC,2024-03-24,3.9,Late Delivery,1
C9965,R009,Laptop,2024-03-02,4.2,Product Defect,4
C8356,R007,Washing Machine,2024-04-12,3.1,Installation Delay,1
C2280,R008,Washing Machine,2024-06-30,3.7,None,4
C3625,R002,Smartphone,2024-06-05,3.5,None,5
C2227,R002,Washing Machine,2024-05-26,4.2,None,4
C2570,R007,AC,2024-01-12,2.5,Unresponsive Support,2
C8999,R007,AC,2024-03-18,4.5,Installation Delay,2
C4969,R002,TV,2024-03-25,3.3,Rude Staff,2
C7294,R007,Smartphone,2024-01-09,4.2,Installation Delay,4
C4348,R003,Smartphone,2024-05-23,3.0,Late Delivery,1
C3363,R004,Smartphone,2024-01-17,3.8,Unresponsive Support,2
C8485,R003,Laptop,2024-03-12,2.3,Product Defect,4
C7682,R009,AC,2024-05-13,3.6,Unresponsive Support,4
C8380,R002,TV,2024-05-20,3.1,Late Delivery,2
C8388,R004,TV,2024-06-11,2.8,Product Defect,2
C7535,R009,TV,2024-02-27,4.7,Rude Staff,3
C8906,R010,Laptop,2024-06-11,2.3,None,1
C3936,R006,Laptop,2024-03-25,2.2,Product Defect,4
C5399,R004,Washing Machine,2024-06-27,3.3,Unresponsive Support,2
C5738,R007,AC,2024-05-23,2.4,None,3
C1842,R010,Smartphone,2024-04-28,3.1,Late Delivery,3
C4880,R004,Laptop,2024-02-14,3.8,Unresponsive Support,2
C7803,R002,AC,2024-04-18,4.1,None,2
C4762,R004,Washing Machine,2024-03-30,3.0,Product Defect,2
C4665,R005,Washing Machine,2024-01-02,2.9,Product Defect,1
C8292,R009,AC,2024-02-13,3.0,Unresponsive Support,1
C4715,R004,Laptop,2024-01-15,3.9,Rude Staff,4
C3448,R008,AC,2024-06-12,5.0,Unresponsive Support,5
C6171,R001,Laptop,2024-04-30,3.5,None,5
C5657,R007,Smartphone,2024-05-04,4.0,Late Delivery,5
C9505,R004,AC,2024-01-03,3.5,Rude Staff,4
C1094,R009,Smartphone,2024-01-19,4.9,Unresponsive Support,1
C6148,R007,Laptop,2024-04-08,2.6,Rude Staff,1
C8613,R008,Smartphone,2024-03-05,2.6,Installation Delay,5
C5864,R006,Washing Machine,2024-03-01,2.0,Product Defect,4
C3263,R002,Laptop,2024-03-02,3.7,Unresponsive Support,1
C5289,R003,Smartphone,2024-06-23,2.7,Unresponsive Support,4
C8218,R001,TV,2024-05-06,3.9,Late Delivery,3
C1744,R002,Smartphone,2024-02-03,4.5,Product Defect,1
C5385,R006,TV,2024-03-20,4.9,Product Defect,3
C1317,R009,TV,2024-02-11,3.0,Late Delivery,2
C3990,R010,TV,2024-01-03,3.2,Rude Staff,1
C6091,R006,Smartphone,2024-05-05,4.0,Late Delivery,4
C3545,R010,Washing Machine,2024-05-21,3.1,Late Delivery,4
C5348,R005,AC,2024-05-20,3.1,Late Delivery,3
C3109,R002,AC,2024-04-14,3.4,Unresponsive Support,1
C6937,R001,Smartphone,2024-05-29,2.5,Product Defect,4
C9027,R008,TV,2024-01-21,4.9,Product Defect,4
C1660,R001,TV,2024-04-02,4.2,Late Delivery,2
C7595,R007,AC,2024-01-20,4.8,Product Defect,4
C4160,R003,Laptop,2024-06-28,4.6,None,1
C9188,R006,TV,2024-03-25,2.4,None,3
C7418,R001,Laptop,2024-03-03,2.8,None,3
C9086,R007,AC,2024-06-27,2.2,Product Defect,1
C8462,R004,Smartphone,2024-03-02,2.8,Installation Delay,2
C2398,R004,AC,2024-04-24,4.7,None,3
C2152,R001,AC,2024-03-12,4.8,Rude Staff,1
C6858,R003,AC,2024-06-24,2.6,None,1
C7930,R008,Laptop,2024-02-22,3.5,None,2
C4744,R001,Smartphone,2024-03-07,3.8,Rude Staff,1
C1285,R004,Laptop,2024-05-14,2.8,Installation Delay,3
C5688,R001,AC,2024-04-06,2.0,Late Delivery,5
C1208,R010,AC,2024-06-06,3.7,Unresponsive Support,5
C3384,R001,TV,2024-03-03,3.3,Unresponsive Support,3
C3609,R005,Laptop,2024-05-03,3.6,Late Delivery,4
C6344,R006,Washing Machine,2024-03-07,4.8,Installation Delay,1
C1951,R006,Smartphone,2024-01-09,4.8,None,4
C9716,R006,AC,2024-02-21,2.3,None,1
C8472,R009,AC,2024-01-30,2.3,None,3
C1453,R010,Washing Machine,2024-03-01,4.5,Installation Delay,5
C3435,R002,Smartphone,2024-02-25,4.7,Rude Staff,4
C6947,R008,Smartphone,2024-06-23,2.4,Installation Delay,3
C2821,R002,Washing Machine,2024-04-18,4.6,Unresponsive Support,2
C1867,R006,AC,2024-06-27,4.0,Unresponsive Support,5
C4676,R003,Smartphone,2024-04-07,3.1,Rude Staff,2
C5657,R005,Washing Machine,2024-01-21,4.5,Late Delivery,3
C8370,R001,TV,2024-03-09,5.0,Product Defect,1
C8565,R009,AC,2024-01-18,4.4,Unresponsive Support,1
C1900,R002,Washing Machine,2024-01-03,2.4,Product Defect,5
C6751,R003,Washing Machine,2024-02-15,4.6,Unresponsive Support,3
C1954,R004,Smartphone,2024-01-13,3.6,Installation Delay,2
C9744,R001,Laptop,2024-05-06,2.6,None,5
C9211,R008,AC,2024-03-29,3.7,Late Delivery,3
C2386,R001,Laptop,2024-01-18,3.9,None,2
C5650,R005,Washing Machine,2024-01-08,3.6,None,5
C5566,R003,AC,2024-02-13,2.8,Unresponsive Support,4
C8376,R001,AC,2024-04-01,3.6,Installation Delay,1
C9800,R005,AC,2024-02-23,4.4,Late Delivery,2
C7332,R004,TV,2024-01-17,2.9,Late Delivery,3
C7916,R010,TV,2024-03-06,2.6,Installation Delay,2
C4016,R009,AC,2024-03-22,3.7,Installation Delay,5
C6864,R003,Washing Machine,2024-01-29,2.5,Late Delivery,5
C1205,R002,Washing Machine,2024-05-25,4.0,Product Defect,1
C7213,R003,Laptop,2024-06-20,4.1,Late Delivery,2
C1823,R003,TV,2024-03-11,3.1,Product Defect,5
C8341,R010,TV,2024-05-15,3.2,Late Delivery,5
C9462,R006,TV,2024-04-25,3.5,Rude Staff,1
C5828,R009,Laptop,2024-04-26,2.6,None,1
C2356,R001,Smartphone,2024-01-04,3.8,Late Delivery,3
C7284,R001,Smartphone,2024-02-24,4.6,Unresponsive Support,5
C6327,R006,Washing Machine,2024-04-24,3.5,Installation Delay,5
C8878,R009,Smartphone,2024-03-20,4.7,Late Delivery,4
C4114,R006,Smartphone,2024-03-06,4.3,Rude Staff,5
C5465,R007,Smartphone,2024-05-02,3.3,Late Delivery,1
C2647,R008,TV,2024-03-31,4.7,Installation Delay,3
C7840,R007,Washing Machine,2024-06-11,4.9,Late Delivery,4
C1560,R009,Smartphone,2024-04-20,3.5,Installation Delay,5
C4206,R006,Smartphone,2024-01-04,4.7,Installation Delay,2
C2001,R006,TV,2024-04-30,4.0,Product Defect,3
C4839,R004,Washing Machine,2024-02-15,3.9,None,4
C7277,R008,AC,2024-06-07,3.2,Installation Delay,5
C7976,R007,Smartphone,2024-05-20,4.1,Product Defect,3
C7585,R008,Laptop,2024-06-08,3.1,Installation Delay,1
C9447,R008,Laptop,2024-03-10,3.3,Product Defect,1
C6337,R001,AC,2024-02-23,2.9,Late Delivery,4
C8763,R003,TV,2024-05-22,2.3,Unresponsive Support,1
C4641,R001,TV,2024-06-26,3.8,Product Defect,4
C1916,R007,Washing Machine,2024-01-26,4.6,Installation Delay,1
C1735,R001,TV,2024-02-27,5.0,Product Defect,3
C8087,R008,TV,2024-04-27,3.5,Product Defect,4
C1131,R004,AC,2024-05-08,2.7,Late Delivery,5
C1196,R010,Laptop,2024-03-19,4.7,Product Defect,1
C8710,R010,TV,2024-02-12,2.6,Late Delivery,5
C1218,R003,TV,2024-03-03,2.0,Installation Delay,5
C2675,R001,TV,2024-04-17,2.6,Unresponsive Support,1
C3111,R007,Washing Machine,2024-02-17,2.1,Unresponsive Support,3
C9508,R006,Smartphone,2024-04-23,4.8,Installation Delay,4
C7617,R006,Washing Machine,2024-05-09,2.2,None,5
C7595,R010,AC,2024-03-24,2.2,Late Delivery,2
C7783,R006,Smartphone,2024-04-27,2.6,Late Delivery,3
C4670,R010,Washing Machine,2024-01-13,2.9,None,5
C7436,R005,TV,2024-01-08,3.3,Rude Staff,3
C8589,R002,AC,2024-06-13,2.5,Late Delivery,3
C9427,R007,Washing Machine,2024-05-18,4.2,Installation Delay,3
C2438,R001,Laptop,2024-04-20,4.6,Rude Staff,1
C9151,R010,Washing Machine,2024-02-27,4.6,Product Defect,1
C6698,R004,Laptop,2024-06-26,3.6,Product Defect,4
C3614,R004,Smartphone,2024-06-19,3.0,Late Delivery,1
C4597,R002,TV,2024-02-27,3.6,Unresponsive Support,5
C9389,R006,Smartphone,2024-02-22,3.8,Late Delivery,2
C4729,R007,Smartphone,2024-06-14,2.2,Product Defect,4
C9487,R010,Washing Machine,2024-04-15,2.2,Late Delivery,3
C8100,R002,Laptop,2024-06-12,2.1,Product Defect,5
C8445,R003,Laptop,2024-01-27,3.0,Late Delivery,5
C6495,R004,Smartphone,2024-01-21,2.5,Late Delivery,1
C8775,R005,Washing Machine,2024-04-02,4.8,Product Defect,1
C6268,R009,TV,2024-01-22,3.0,None,4
C4113,R007,Smartphone,2024-01-24,2.2,Rude Staff,2
C9255,R008,AC,2024-01-23,2.5,None,2
C6148,R005,Washing Machine,2024-05-04,4.0,Late Delivery,2
C4405,R003,Laptop,2024-03-24,2.5,Rude Staff,3
C3338,R004,Smartphone,2024-01-31,2.9,None,2
C2617,R003,Laptop,2024-03-28,4.5,Installation Delay,2
C2408,R002,Washing Machine,2024-02-19,3.6,Late Delivery,3
C9676,R001,AC,2024-05-27,4.3,Product Defect,5
C6742,R002,AC,2024-05-23,3.0,Installation Delay,5
C9804,R006,Laptop,2024-04-24,4.8,Late Delivery,5
C7273,R008,TV,2024-02-24,2.9,Unresponsive Support,4
C4986,R002,TV,2024-06-17,3.5,Late Delivery,1
C4093,R007,AC,2024-04-09,3.6,Rude Staff,5
