date,region_id,product_category,brand,units_sold,price,marketing_spend
2024-01-01,R008,AC,Sony,81,30000,34359
2024-01-01,R008,TV,Sony,104,20000,35052
2024-01-01,R008,Washing Machine,Samsung,23,45000,12507
2024-01-01,R009,Laptop,LG,96,45000,34651
2024-01-01,R009,Smartphone,LG,34,30000,31641
2024-01-01,R009,AC,HP,61,45000,35168
2024-01-01,R009,TV,Whirlpool,40,45000,38831
2024-01-01,R009,Washing Machine,Sony,71,20000,31569
2024-01-01,R010,Laptop,Sony,83,60000,26787
2024-01-01,R010,Smartphone,HP,133,60000,16244
2024-01-01,R010,AC,Sony,38,45000,31669
2024-01-01,R010,TV,Samsung,89,30000,12304
2024-01-01,R010,Washing Machine,LG,41,20000,21719
2024-01-02,R001,Laptop,Whirlpool,26,60000,35591
2024-01-02,R001,Smartphone,Sony,29,60000,25526
2024-01-02,R001,AC,Whirlpool,58,45000,6902
2024-01-02,R001,TV,Samsung,49,60000,29020
2024-01-02,R001,Washing Machine,Samsung,118,60000,36695
2024-01-02,R002,Laptop,HP,139,60000,25417
2024-01-02,R002,Smartphone,LG,46,60000,24927
2024-01-02,R002,AC,LG,74,30000,24597
2024-01-02,R002,TV,Whirlpool,42,30000,11497
2024-01-02,R002,Washing Machine,HP,73,45000,36421
2024-01-02,R003,Laptop,Samsung,108,20000,29319
2024-01-02,R003,Smartphone,Sony,127,75000,29742
2024-01-02,R003,AC,Whirlpool,75,30000,25205
2024-01-02,R003,TV,HP,64,30000,7225
2024-01-02,R003,Washing Machine,Sony,150,75000,25552
2024-01-02,R004,Laptop,Sony,77,60000,39241
2024-01-02,R004,Smartphone,Whirlpool,84,30000,37124
2024-01-02,R004,AC,HP,25,30000,24760
2024-01-02,R004,TV,Sony,90,60000,10242
2024-01-02,R004,Washing Machine,Samsung,114,45000,32199
2024-01-02,R005,Laptop,LG,69,75000,31619
2024-01-02,R005,Smartphone,Samsung,85,20000,33178
2024-01-02,R005,AC,HP,87,60000,21409
2024-01-02,R005,TV,Whirlpool,131,30000,14520
2024-01-02,R005,Washing Machine,HP,29,45000,22963
2024-01-02,R006,Laptop,Whirlpool,57,60000,26127
2024-01-02,R006,Smartphone,Whirlpool,77,45000,30960
2024-01-02,R006,AC,Sony,60,60000,26522
2024-01-02,R006,TV,HP,131,20000,17935
2024-01-02,R006,Washing Machine,Sony,40,45000,29089
2024-01-02,R007,Laptop,Samsung,144,75000,29664
2024-01-02,R007,Smartphone,Sony,45,20000,9336
2024-01-02,R007,AC,HP,93,20000,15883
2024-01-02,R007,TV,Samsung,34,60000,6694
2024-01-02,R007,Washing Machine,LG,130,60000,37898
2024-01-02,R008,Laptop,Samsung,115,75000,26458
2024-01-02,R008,Smartphone,Sony,117,75000,33248
2024-01-02,R008,AC,LG,49,60000,17850
2024-01-02,R008,TV,HP,144,20000,11589
2024-01-02,R008,Washing Machine,Samsung,82,45000,6313
2024-01-02,R009,Laptop,Sony,132,30000,12237
2024-01-02,R009,Smartphone,LG,27,30000,28356
2024-01-02,R009,AC,Samsung,67,45000,6181
2024-01-02,R009,TV,LG,75,75000,38302
2024-01-02,R009,Washing Machine,HP,27,45000,16588
2024-01-02,R010,Laptop,Whirlpool,113,45000,29812
2024-01-02,R010,Smartphone,Whirlpool,140,30000,10444
2024-01-02,R010,AC,LG,24,60000,37289
2024-01-02,R010,TV,Samsung,139,60000,10261
2024-01-02,R010,Washing Machine,Whirlpool,125,20000,19298
2024-01-03,R001,Laptop,LG,98,30000,8049
2024-01-03,R001,Smartphone,Sony,127,75000,7653
2024-01-03,R001,AC,Sony,86,75000,15773
2024-01-03,R001,TV,LG,28,60000,15359
2024-01-03,R001,Washing Machine,HP,104,60000,25548
2024-01-03,R002,Laptop,Samsung,46,20000,18223
2024-01-03,R002,Smartphone,Whirlpool,96,75000,12371
2024-01-03,R002,AC,HP,20,45000,35253
2024-01-03,R002,TV,HP,49,20000,30954
2024-01-03,R002,Washing Machine,Whirlpool,55,60000,27625
2024-01-03,R003,Laptop,LG,39,20000,34632
2024-01-03,R003,Smartphone,HP,24,75000,26705
2024-01-03,R003,AC,Samsung,114,60000,13552
2024-01-03,R003,TV,Samsung,44,60000,6688
2024-01-03,R003,Washing Machine,Whirlpool,80,45000,9419
2024-01-03,R004,Laptop,Whirlpool,71,30000,11534
2024-01-03,R004,Smartphone,Sony,54,45000,5603
2024-01-03,R004,AC,Samsung,135,75000,29059
2024-01-03,R004,TV,Sony,89,75000,30304
2024-01-03,R004,Washing Machine,Sony,96,30000,8735
2024-01-03,R005,Laptop,Whirlpool,120,45000,19531
2024-01-03,R005,Smartphone,Sony,102,60000,34347
2024-01-03,R005,AC,Sony,25,30000,25978
2024-01-03,R005,TV,HP,25,60000,28784
2024-01-03,R005,Washing Machine,LG,126,30000,30702
2024-01-03,R006,Laptop,Sony,134,75000,12653
2024-01-03,R006,Smartphone,Samsung,105,75000,13667
2024-01-03,R006,AC,HP,105,20000,21013
2024-01-03,R006,TV,HP,123,60000,20303
2024-01-03,R006,Washing Machine,LG,146,20000,16107
2024-01-03,R007,Laptop,HP,24,45000,29267
2024-01-03,R007,Smartphone,HP,43,75000,29708
2024-01-03,R007,AC,Samsung,33,45000,39298
2024-01-03,R007,TV,Samsung,114,60000,23518
2024-01-03,R007,Washing Machine,Samsung,26,60000,8612
2024-01-03,R008,Laptop,LG,131,20000,39470
2024-01-03,R008,Smartphone,LG,68,20000,13760
2024-01-03,R008,AC,Sony,29,20000,30819
2024-01-03,R008,TV,Samsung,141,60000,24543
2024-01-03,R008,Washing Machine,Samsung,50,75000,7314
2024-01-03,R009,Laptop,Whirlpool,86,75000,38559
2024-01-03,R009,Smartphone,Samsung,109,75000,6419
2024-01-03,R009,AC,HP,23,75000,30329
2024-01-03,R009,TV,Samsung,88,20000,29459
2024-01-03,R009,Washing Machine,Whirlpool,55,45000,12294
2024-01-03,R010,Laptop,Whirlpool,51,60000,12159
2024-01-03,R010,Smartphone,Samsung,56,75000,6171
2024-01-03,R010,AC,Samsung,93,30000,29418
2024-01-03,R010,TV,Whirlpool,103,20000,35307
2024-01-03,R010,Washing Machine,Whirlpool,56,60000,19774
2024-01-04,R001,Laptop,Whirlpool,118,45000,36646
2024-01-04,R001,Smartphone,LG,135,45000,34304
2024-01-04,R001,AC,HP,116,45000,25287
2024-01-04,R001,TV,Sony,119,75000,13129
2024-01-04,R001,Washing Machine,Sony,84,30000,22708
2024-01-04,R002,Laptop,LG,40,45000,38574
2024-01-04,R002,Smartphone,Whirlpool,70,45000,38004
2024-01-04,R002,AC,Sony,40,30000,7707
2024-01-04,R002,TV,HP,143,60000,38032
2024-01-04,R002,Washing Machine,Whirlpool,131,20000,11459
2024-01-04,R003,Laptop,Sony,81,30000,32365
2024-01-04,R003,Smartphone,HP,108,60000,31395
2024-01-04,R003,AC,LG,63,20000,11477
2024-01-04,R003,TV,Whirlpool,105,75000,15306
2024-01-04,R003,Washing Machine,Whirlpool,87,60000,20602
2024-01-04,R004,Laptop,LG,26,45000,15335
2024-01-04,R004,Smartphone,HP,94,30000,23467
2024-01-04,R004,AC,Sony,88,30000,30228
2024-01-04,R004,TV,Samsung,70,60000,8409
2024-01-04,R004,Washing Machine,HP,75,20000,25149
2024-01-04,R005,Laptop,Samsung,65,60000,7891
2024-01-04,R005,Smartphone,Whirlpool,60,60000,34989
2024-01-04,R005,AC,HP,123,20000,7886
2024-01-04,R005,TV,Samsung,119,30000,15759
2024-01-04,R005,Washing Machine,Whirlpool,111,20000,33195
2024-01-04,R006,Laptop,Samsung,20,30000,10138
2024-01-04,R006,Smartphone,Samsung,90,60000,8826
2024-01-04,R006,AC,LG,117,45000,17603
2024-01-04,R006,TV,HP,42,20000,25329
2024-01-04,R006,Washing Machine,Whirlpool,137,30000,6831
2024-01-04,R007,Laptop,Sony,84,60000,14497
2024-01-04,R007,Smartphone,LG,35,20000,5405
2024-01-04,R007,AC,Whirlpool,72,75000,9531
2024-01-04,R007,TV,Samsung,128,60000,11067
2024-01-04,R007,Washing Machine,LG,117,30000,19050
2024-01-04,R008,Laptop,HP,23,30000,33816
2024-01-04,R008,Smartphone,HP,114,30000,5836
2024-01-04,R008,AC,Sony,48,60000,29076
2024-01-04,R008,TV,Sony,142,20000,36394
2024-01-04,R008,Washing Machine,HP,137,30000,30729
2024-01-04,R009,Laptop,HP,61,60000,7851
2024-01-04,R009,Smartphone,HP,138,20000,21850
2024-01-04,R009,AC,Sony,136,75000,22084
2024-01-04,R009,TV,Samsung,49,30000,26745
2024-01-04,R009,Washing Machine,LG,111,60000,17843
2024-01-04,R010,Laptop,Whirlpool,38,30000,17916
2024-01-04,R010,Smartphone,LG,85,60000,15242
2024-01-04,R010,AC,HP,121,60000,29905
2024-01-04,R010,TV,LG,141,45000,5730
2024-01-04,R010,Washing Machine,HP,130,20000,31636
2024-01-05,R001,Laptop,LG,65,30000,28233
2024-01-05,R001,Smartphone,LG,37,60000,24137
2024-01-05,R001,AC,Samsung,139,75000,19019
2024-01-05,R001,TV,Samsung,106,60000,26705
2024-01-05,R001,Washing Machine,Sony,114,30000,25951
2024-01-05,R002,Laptop,HP,82,30000,15091
2024-01-05,R002,Smartphone,Whirlpool,136,20000,6657
2024-01-05,R002,AC,Sony,89,60000,37053
2024-01-05,R002,TV,LG,116,20000,27321
2024-01-05,R002,Washing Machine,Sony,110,75000,31820
2024-01-05,R003,Laptop,LG,106,75000,26234
2024-01-05,R003,Smartphone,Sony,126,75000,23742
2024-01-05,R003,AC,HP,149,75000,5481
2024-01-05,R003,TV,LG,101,20000,11454
2024-01-05,R003,Washing Machine,Samsung,131,30000,32698
2024-01-05,R004,Laptop,Sony,95,30000,31600
2024-01-05,R004,Smartphone,Whirlpool,85,75000,19966
2024-01-05,R004,AC,Samsung,63,60000,29370
2024-01-05,R004,TV,Sony,78,60000,9272
2024-01-05,R004,Washing Machine,LG,48,30000,28441
2024-01-05,R005,Laptop,LG,59,60000,11139
2024-01-05,R005,Smartphone,HP,118,20000,21588
2024-01-05,R005,AC,Whirlpool,115,20000,24975
2024-01-05,R005,TV,Whirlpool,36,30000,9143
2024-01-05,R005,Washing Machine,Sony,51,60000,16812
2024-01-05,R006,Laptop,Whirlpool,97,60000,31506
2024-01-05,R006,Smartphone,Whirlpool,97,30000,11995
2024-01-05,R006,AC,LG,57,60000,27643
2024-01-05,R006,TV,Whirlpool,29,20000,31399
2024-01-05,R006,Washing Machine,HP,116,45000,15724
2024-01-05,R007,Laptop,Whirlpool,31,45000,39388
2024-01-05,R007,Smartphone,LG,134,45000,7211
2024-01-05,R007,AC,Samsung,39,30000,36630
2024-01-05,R007,TV,Samsung,67,30000,26337
2024-01-05,R007,Washing Machine,LG,20,20000,25671
2024-01-05,R008,Laptop,Sony,55,45000,12513
2024-01-05,R008,Smartphone,Whirlpool,34,20000,25436
2024-01-05,R008,AC,Samsung,86,75000,39745
2024-01-05,R008,TV,Sony,49,75000,35029
2024-01-05,R008,Washing Machine,Samsung,43,20000,18917
2024-01-05,R009,Laptop,HP,24,45000,14332
2024-01-05,R009,Smartphone,Whirlpool,135,60000,21760
2024-01-05,R009,AC,Samsung,88,30000,39725
2024-01-05,R009,TV,LG,98,45000,14535
2024-01-05,R009,Washing Machine,Whirlpool,38,20000,32064
2024-01-05,R010,Laptop,Samsung,77,75000,31991
2024-01-05,R010,Smartphone,LG,103,45000,11323
2024-01-05,R010,AC,LG,117,75000,33759
2024-01-05,R010,TV,Samsung,59,30000,34379
2024-01-05,R010,Washing Machine,Samsung,124,75000,11792
2024-01-06,R001,Laptop,Whirlpool,80,75000,15743
2024-01-06,R001,Smartphone,Sony,57,60000,34239
2024-01-06,R001,AC,HP,143,75000,20300
2024-01-06,R001,TV,HP,114,30000,34786
2024-01-06,R001,Washing Machine,LG,117,30000,39406
2024-01-06,R002,Laptop,Whirlpool,71,75000,34648
2024-01-06,R002,Smartphone,Whirlpool,92,30000,11498
2024-01-06,R002,AC,LG,141,45000,31098
2024-01-06,R002,TV,Whirlpool,90,45000,36960
2024-01-06,R002,Washing Machine,LG,70,75000,18879
2024-01-06,R003,Laptop,Samsung,22,20000,37145
2024-01-06,R003,Smartphone,LG,62,60000,37500
2024-01-06,R003,AC,Samsung,68,45000,6649
2024-01-06,R003,TV,Sony,24,20000,38288
2024-01-06,R003,Washing Machine,Whirlpool,67,60000,22175
2024-01-06,R004,Laptop,Whirlpool,22,60000,14996
2024-01-06,R004,Smartphone,Sony,30,75000,36248
2024-01-06,R004,AC,Whirlpool,39,75000,34111
2024-01-06,R004,TV,Sony,52,60000,39289
2024-01-06,R004,Washing Machine,HP,128,45000,26661
2024-01-06,R005,Laptop,HP,135,45000,37516
2024-01-06,R005,Smartphone,LG,74,45000,26862
2024-01-06,R005,AC,Sony,144,20000,8681
2024-01-06,R005,TV,LG,93,45000,20060
2024-01-06,R005,Washing Machine,LG,117,60000,39837
2024-01-06,R006,Laptop,Sony,144,75000,12003
2024-01-06,R006,Smartphone,LG,62,30000,18069
2024-01-06,R006,AC,LG,25,45000,20345
2024-01-06,R006,TV,Sony,139,30000,36335
2024-01-06,R006,Washing Machine,HP,48,75000,7340
2024-01-06,R007,Laptop,Whirlpool,136,60000,31449
2024-01-06,R007,Smartphone,HP,128,20000,7747
2024-01-06,R007,AC,LG,22,60000,16899
2024-01-06,R007,TV,LG,46,60000,12881
2024-01-06,R007,Washing Machine,Whirlpool,72,45000,18507
2024-01-06,R008,Laptop,Sony,98,30000,24937
2024-01-06,R008,Smartphone,LG,115,45000,31652
2024-01-06,R008,AC,Samsung,112,20000,30054
2024-01-06,R008,TV,Whirlpool,81,30000,31070
2024-01-06,R008,Washing Machine,Samsung,80,30000,8546
2024-01-06,R009,Laptop,LG,61,30000,37818
2024-01-06,R009,Smartphone,Whirlpool,57,45000,34477
2024-01-06,R009,AC,Whirlpool,61,75000,24415
2024-01-06,R009,TV,Samsung,64,20000,37235
2024-01-06,R009,Washing Machine,Samsung,113,45000,21478
2024-01-06,R010,Laptop,Whirlpool,79,45000,25656
2024-01-06,R010,Smartphone,Samsung,118,75000,39644
2024-01-06,R010,AC,LG,113,60000,32283
2024-01-06,R010,TV,Whirlpool,46,75000,26166
2024-01-06,R010,Washing Machine,Whirlpool,58,20000,34505
2024-01-07,R001,Laptop,Whirlpool,115,30000,9962
2024-01-07,R001,Smartphone,Whirlpool,89,30000,29212
2024-01-07,R001,AC,LG,69,30000,8015
2024-01-07,R001,TV,HP,48,20000,9629
2024-01-07,R001,Washing Machine,Whirlpool,38,20000,10234
2024-01-07,R002,Laptop,HP,45,45000,37586
2024-01-07,R002,Smartphone,Whirlpool,36,75000,30261
2024-01-07,R002,AC,Whirlpool,135,45000,31729
2024-01-07,R002,TV,Sony,75,60000,9106
2024-01-07,R002,Washing Machine,Samsung,96,20000,19868
2024-01-07,R003,Laptop,Whirlpool,121,75000,31302
2024-01-07,R003,Smartphone,Sony,126,30000,11820
2024-01-07,R003,AC,Whirlpool,62,45000,9915
2024-01-07,R003,TV,Sony,51,20000,5482
2024-01-07,R003,Washing Machine,Whirlpool,81,45000,36355
2024-01-07,R004,Laptop,HP,20,45000,37762
2024-01-07,R004,Smartphone,Whirlpool,46,20000,17172
2024-01-07,R004,AC,LG,122,75000,16464
2024-01-07,R004,TV,Whirlpool,35,30000,30758
2024-01-07,R004,Washing Machine,Whirlpool,28,20000,21997
2024-01-07,R005,Laptop,Whirlpool,33,20000,25485
2024-01-07,R005,Smartphone,Sony,145,45000,15779
2024-01-07,R005,AC,Samsung,48,30000,20544
2024-01-07,R005,TV,Sony,95,75000,34111
2024-01-07,R005,Washing Machine,Sony,62,20000,13937
2024-01-07,R006,Laptop,Sony,76,45000,33306
2024-01-07,R006,Smartphone,HP,20,45000,23887
2024-01-07,R006,AC,Sony,52,45000,36052
2024-01-07,R006,TV,Whirlpool,70,30000,7073
2024-01-07,R006,Washing Machine,Sony,98,20000,5689
2024-01-07,R007,Laptop,Samsung,65,20000,38652
2024-01-07,R007,Smartphone,LG,37,45000,30317
2024-01-07,R007,AC,Sony,84,30000,8331
2024-01-07,R007,TV,LG,62,20000,31740
2024-01-07,R007,Washing Machine,LG,46,30000,16866
2024-01-07,R008,Laptop,Samsung,105,45000,24086
2024-01-07,R008,Smartphone,LG,53,75000,19930
2024-01-07,R008,AC,HP,132,60000,19037
2024-01-07,R008,TV,Sony,142,60000,14384
2024-01-07,R008,Washing Machine,Sony,94,75000,10121
2024-01-07,R009,Laptop,HP,85,45000,31655
2024-01-07,R009,Smartphone,LG,142,45000,35288
2024-01-07,R009,AC,Sony,54,30000,9047
2024-01-07,R009,TV,Whirlpool,65,20000,8483
2024-01-07,R009,Washing Machine,Whirlpool,143,75000,5199
2024-01-07,R010,Laptop,Sony,40,60000,27168
2024-01-07,R010,Smartphone,LG,71,20000,31775
2024-01-07,R010,AC,Samsung,99,20000,27681
2024-01-07,R010,TV,Samsung,145,60000,17704
2024-01-07,R010,Washing Machine,HP,105,45000,37138
2024-01-08,R001,Laptop,Whirlpool,62,20000,6525
2024-01-08,R001,Smartphone,LG,21,75000,23650
2024-01-08,R001,AC,Samsung,24,75000,16444
2024-01-08,R001,TV,Sony,68,60000,28528
2024-01-08,R001,Washing Machine,Samsung,29,20000,24937
2024-01-08,R002,Laptop,Sony,43,30000,12450
2024-01-08,R002,Smartphone,Sony,83,60000,18621
2024-01-08,R002,AC,HP,106,60000,31503
2024-01-08,R002,TV,Whirlpool,30,30000,22372
2024-01-08,R002,Washing Machine,HP,47,45000,11997
2024-01-08,R003,Laptop,Sony,24,45000,35533
2024-01-08,R003,Smartphone,Sony,39,60000,33032
2024-01-08,R003,AC,LG,22,20000,35296
2024-01-08,R003,TV,LG,60,75000,16990
2024-01-08,R003,Washing Machine,LG,45,30000,26230
2024-01-08,R004,Laptop,Samsung,47,60000,13682
2024-01-08,R004,Smartphone,LG,84,30000,10615
2024-01-08,R004,AC,Sony,34,60000,13905
2024-01-08,R004,TV,HP,114,60000,7970
2024-01-08,R004,Washing Machine,HP,57,75000,7274
2024-01-08,R005,Laptop,LG,45,75000,37641
2024-01-08,R005,Smartphone,Sony,28,45000,19423
2024-01-08,R005,AC,HP,129,45000,14511
2024-01-08,R005,TV,Samsung,38,20000,33096
2024-01-08,R005,Washing Machine,LG,73,30000,24845
2024-01-08,R006,Laptop,Samsung,80,45000,6900
2024-01-08,R006,Smartphone,HP,41,45000,19756
2024-01-08,R006,AC,Sony,71,45000,33333
2024-01-08,R006,TV,LG,133,75000,39470
2024-01-08,R006,Washing Machine,Samsung,109,75000,22314
2024-01-08,R007,Laptop,Samsung,95,60000,15275
2024-01-08,R007,Smartphone,Samsung,50,20000,17473
2024-01-08,R007,AC,Samsung,134,75000,18826
2024-01-08,R007,TV,LG,135,45000,37247
2024-01-08,R007,Washing Machine,Samsung,143,30000,19328
2024-01-08,R008,Laptop,Sony,40,60000,37637
2024-01-08,R008,Smartphone,Samsung,96,20000,26333
2024-01-08,R008,AC,Samsung,100,60000,21463
2024-01-08,R008,TV,Whirlpool,49,30000,23437
2024-01-08,R008,Washing Machine,Whirlpool,143,20000,13122
2024-01-08,R009,Laptop,HP,20,30000,16230
2024-01-08,R009,Smartphone,Whirlpool,82,60000,18688
2024-01-08,R009,AC,Sony,122,45000,27124
2024-01-08,R009,TV,Samsung,115,30000,7118
2024-01-08,R009,Washing Machine,HP,21,45000,30410
2024-01-08,R010,Laptop,Sony,104,20000,16386
2024-01-08,R010,Smartphone,Whirlpool,20,30000,18161
2024-01-08,R010,AC,HP,23,60000,39920
2024-01-08,R010,TV,Sony,128,75000,32247
2024-01-08,R010,Washing Machine,HP,137,60000,37933
2024-01-09,R001,Laptop,Whirlpool,123,45000,16015
2024-01-09,R001,Smartphone,Sony,67,20000,28544
2024-01-09,R001,AC,Whirlpool,147,30000,18500
2024-01-09,R001,TV,LG,63,20000,35334
2024-01-09,R001,Washing Machine,LG,35,45000,30739
2024-01-09,R002,Laptop,Whirlpool,122,45000,35468
2024-01-09,R002,Smartphone,Sony,51,60000,22945
2024-01-09,R002,AC,LG,112,45000,8666
2024-01-09,R002,TV,Sony,28,75000,22580
2024-01-09,R002,Washing Machine,HP,75,30000,17749
2024-01-09,R003,Laptop,Sony,96,20000,38386
2024-01-09,R003,Smartphone,HP,53,60000,30508
2024-01-09,R003,AC,LG,129,20000,5883
2024-01-09,R003,TV,Whirlpool,115,60000,23299
2024-01-09,R003,Washing Machine,LG,123,30000,27593
2024-01-09,R004,Laptop,LG,33,75000,28018
2024-01-09,R004,Smartphone,Sony,32,30000,9464
2024-01-09,R004,AC,HP,93,20000,37424
2024-01-09,R004,TV,HP,137,30000,38859
2024-01-09,R004,Washing Machine,Samsung,73,45000,34678
2024-01-09,R005,Laptop,LG,29,45000,22110
2024-01-09,R005,Smartphone,LG,32,20000,14038
2024-01-09,R005,AC,LG,116,20000,28003
2024-01-09,R005,TV,Samsung,28,45000,9227
2024-01-09,R005,Washing Machine,Sony,95,75000,24725
2024-01-09,R006,Laptop,LG,130,45000,14692
2024-01-09,R006,Smartphone,LG,148,30000,35398
2024-01-09,R006,AC,Sony,137,30000,7645
2024-01-09,R006,TV,LG,104,30000,19391
2024-01-09,R006,Washing Machine,HP,39,60000,26454
2024-01-09,R007,Laptop,Whirlpool,138,60000,18093
2024-01-09,R007,Smartphone,LG,49,30000,5115
2024-01-09,R007,AC,HP,116,45000,11810
2024-01-09,R007,TV,LG,107,20000,26787
2024-01-09,R007,Washing Machine,LG,20,45000,24237
2024-01-09,R008,Laptop,LG,53,75000,34611
2024-01-09,R008,Smartphone,Samsung,111,60000,32330
2024-01-09,R008,AC,Samsung,132,45000,34431
2024-01-09,R008,TV,Sony,79,60000,37559
2024-01-09,R008,Washing Machine,Samsung,97,75000,24714
2024-01-09,R009,Laptop,Sony,79,20000,23914
2024-01-09,R009,Smartphone,HP,129,30000,14104
2024-01-09,R009,AC,LG,35,45000,6170
2024-01-09,R009,TV,Sony,88,30000,18430
2024-01-09,R009,Washing Machine,Samsung,33,60000,6346
2024-01-09,R010,Laptop,LG,49,30000,20114
2024-01-09,R010,Smartphone,HP,83,45000,30528
2024-01-09,R010,AC,Sony,42,60000,14391
2024-01-09,R010,TV,LG,62,75000,25806
2024-01-09,R010,Washing Machine,Samsung,82,45000,21014
2024-01-10,R001,Laptop,LG,118,60000,19475
2024-01-10,R001,Smartphone,Sony,123,20000,27841
2024-01-10,R001,AC,Samsung,36,20000,16690
2024-01-10,R001,TV,LG,67,45000,32476
2024-01-10,R001,Washing Machine,Samsung,52,75000,38085
2024-01-10,R002,Laptop,HP,69,45000,17369
2024-01-10,R002,Smartphone,HP,126,45000,34474
2024-01-10,R002,AC,Whirlpool,131,75000,29789
2024-01-10,R002,TV,HP,40,75000,20200
2024-01-10,R002,Washing Machine,Sony,86,45000,8399
2024-01-10,R003,Laptop,Whirlpool,38,30000,16607
2024-01-10,R003,Smartphone,LG,81,45000,5669
2024-01-10,R003,AC,LG,71,20000,12834
2024-01-10,R003,TV,LG,122,45000,20527
2024-01-10,R003,Washing Machine,HP,30,45000,28288
2024-01-10,R004,Laptop,Samsung,126,75000,30300
2024-01-10,R004,Smartphone,HP,41,45000,23694
2024-01-10,R004,AC,LG,35,20000,11534
2024-01-10,R004,TV,Samsung,72,30000,5282
2024-01-10,R004,Washing Machine,LG,128,20000,39409
2024-01-10,R005,Laptop,Samsung,144,60000,29465
2024-01-10,R005,Smartphone,Sony,41,30000,16174
2024-01-10,R005,AC,LG,34,30000,14413
2024-01-10,R005,TV,LG,64,60000,16986
2024-01-10,R005,Washing Machine,Sony,73,75000,21321
2024-01-10,R006,Laptop,Whirlpool,92,75000,18353
2024-01-10,R006,Smartphone,Samsung,105,60000,37728
2024-01-10,R006,AC,Samsung,79,30000,39403
2024-01-10,R006,TV,LG,54,45000,12251
2024-01-10,R006,Washing Machine,Sony,142,60000,38740
2024-01-10,R007,Laptop,Samsung,72,75000,34211
2024-01-10,R007,Smartphone,LG,29,20000,14291
2024-01-10,R007,AC,Sony,99,20000,11118
2024-01-10,R007,TV,Whirlpool,29,20000,28363
2024-01-10,R007,Washing Machine,Sony,130,75000,29564
2024-01-10,R008,Laptop,Samsung,51,30000,11056
2024-01-10,R008,Smartphone,LG,50,45000,25086
2024-01-10,R008,AC,Samsung,110,20000,24968
2024-01-10,R008,TV,Whirlpool,60,30000,9929
2024-01-10,R008,Washing Machine,Samsung,25,30000,16234
2024-01-10,R009,Laptop,Whirlpool,100,30000,6624
2024-01-10,R009,Smartphone,Samsung,146,30000,5369
2024-01-10,R009,AC,Sony,150,30000,26579
2024-01-10,R009,TV,HP,73,45000,36597
2024-01-10,R009,Washing Machine,Sony,127,75000,24192
2024-01-10,R010,Laptop,LG,143,60000,26728
2024-01-10,R010,Smartphone,Samsung,76,30000,15194
2024-01-10,R010,AC,Whirlpool,138,20000,38407
2024-01-10,R010,TV,Samsung,40,20000,20225
2024-01-10,R010,Washing Machine,LG,92,75000,13271
2024-01-11,R001,Laptop,Sony,58,20000,31936
2024-01-11,R001,Smartphone,Samsung,91,45000,32426
2024-01-11,R001,AC,HP,148,30000,17311
2024-01-11,R001,TV,LG,46,45000,29534
2024-01-11,R001,Washing Machine,Samsung,123,20000,21954
2024-01-11,R002,Laptop,Whirlpool,38,75000,12541
2024-01-11,R002,Smartphone,Sony,66,20000,37783
2024-01-11,R002,AC,Sony,119,60000,30013
2024-01-11,R002,TV,Whirlpool,138,45000,31254
2024-01-11,R002,Washing Machine,Samsung,58,45000,13023
2024-01-11,R003,Laptop,Sony,42,20000,38732
